City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Crane,31.3974,-102.3501,66.2,22,8,13.96,US,1714137451
1,Thal,35.4791,72.2439,48.6,74,100,3.58,PK,1714137453
2,Weno,7.4515,151.8468,84.15,94,75,9.22,FM,1714137456
3,Puerto Ayora,-0.7393,-90.3518,77.56,96,71,1.01,EC,1714137458
4,Buala,-8.145,159.5921,81.43,82,100,3.24,SB,1714137461
5,Anadyr,64.75,177.4833,30.7,100,100,2.24,RU,1714137463
6,Cidreira,-30.1811,-50.2056,70.45,86,100,13.44,BR,1714137465
7,Wāngjing,24.6,94.0333,75.04,50,0,2.1,IN,1714137467
8,Hawaiian Paradise Park,19.5933,-154.9731,68.04,97,75,8.05,US,1714137469
9,Adamstown,-25.066,-130.1015,74.14,87,52,16.13,PN,1714137471
10,Port-aux-Français,-49.35,70.2167,43.54,94,100,20.65,TF,1714137473
11,Shāhpur,16.7,76.8333,102.04,14,40,10.42,IN,1714137475
12,Waitangi,-43.9535,-176.5597,53.82,79,98,10.0,NZ,1714137477
13,Susuman,62.7833,148.1667,28.98,95,100,4.0,RU,1714137445
14,Cascais,38.6979,-9.4215,67.15,74,40,21.99,PT,1714137481
15,Blackmans Bay,-43.0167,147.3167,48.52,84,98,1.99,AU,1714137482
16,Bel Ombre,-4.6167,55.4167,85.84,74,40,8.05,SC,1714137484
17,Port Moresby,-9.4431,147.1797,79.11,90,96,11.77,PG,1714137487
18,Wailua Homesteads,22.0669,-159.378,72.39,81,75,16.11,US,1714137489
19,Atafu Village,-8.5421,-172.5159,83.98,78,82,11.07,TK,1714137491
20,The Range,-23.3822,150.4975,69.46,78,99,6.91,AU,1714137494
21,São João da Barra,-21.6403,-41.0511,80.69,77,99,9.24,BR,1714137496
22,Avarua,-21.2078,-159.775,78.85,78,40,6.91,CK,1714137498
23,Lihue,21.9789,-159.3672,72.99,80,75,16.11,US,1714137283
24,Sant Lluís,39.8526,4.2594,63.0,67,40,11.5,ES,1714137251
25,Pisco,-13.7,-76.2167,68.05,83,1,1.14,PE,1714137246
26,Margaret River,-33.95,115.0667,58.93,71,0,5.48,AU,1714137508
27,Ribeira Grande,38.5167,-28.7,63.0,63,40,14.97,PT,1714137509
28,Shevchenkove,49.6959,37.1735,75.16,41,100,1.97,UA,1714137511
29,Qaqortoq,60.7167,-46.0333,37.22,96,100,3.47,GL,1714137513
30,Bethel,41.3712,-73.414,50.02,51,0,10.36,US,1714137515
31,Stephenville,32.2207,-98.2023,72.86,84,0,11.5,US,1714137350
32,George Town,5.4112,100.3354,82.33,89,20,4.61,MY,1714137223
33,Albany,42.6001,-73.9662,46.58,48,7,3.0,US,1714137328
34,Victoria Falls,-17.9235,25.843,90.43,19,0,10.45,ZW,1714137522
35,Longyearbyen,78.2186,15.6401,28.24,74,20,9.22,SJ,1714137524
36,Tashtagol,52.7657,87.8894,37.53,63,26,4.0,RU,1714137526
37,Thompson,55.7435,-97.8558,39.36,87,75,2.3,CA,1714137528
38,Olonkinbyen,70.9221,-8.7187,29.19,96,100,14.14,SJ,1714137532
39,Punta Arenas,-53.15,-70.9167,35.71,80,0,12.66,CL,1714137534
40,Edinburgh of the Seven Seas,-37.0676,-12.3116,64.4,91,100,30.96,SH,1714137535
41,Leh,34.1667,77.5833,30.4,47,56,4.94,IN,1714137537
42,Grytviken,-54.2811,-36.5092,36.99,88,100,8.52,GS,1714137539
43,Touros,-5.1989,-35.4608,81.81,86,100,13.06,BR,1714137541
44,Greymouth,-42.4667,171.2,45.99,86,99,4.63,NZ,1714137513
45,Visby,57.6409,18.296,46.04,81,0,9.22,SE,1714137545
46,Siem Reap,13.5,104.0,90.55,49,17,9.08,KH,1714137547
47,Keflavik,64.0049,-22.5624,49.91,57,0,20.71,IS,1714137549
48,Plouzané,48.3833,-4.6167,57.38,58,75,13.8,FR,1714137550
49,Iqaluit,63.7506,-68.5145,8.33,72,40,21.85,CA,1714137552
50,Kafanchan,9.5833,8.3,100.53,24,26,4.94,NG,1714137554
51,Bredasdorp,-34.5322,20.0403,68.09,66,51,21.77,ZA,1714137556
52,Sinop Province,41.7711,34.8709,56.71,96,98,7.2,TR,1714137558
53,Zaozërsk,69.4005,32.4476,32.27,96,99,13.0,RU,1714137560
54,Klyuchi,52.2667,79.1667,48.49,24,2,10.22,RU,1714137562
